YEAR,MO,DY,HR,T2M,RH2M,PS,WS10M,WD10M
2013,1,10,3,24.58,91.5,98.68,7.31,276.69
2013,1,10,4,24.64,91.56,98.73,7.14,274.64
2013,1,10,5,24.78,91.44,98.79,7.2,272.99
2013,1,10,6,25.46,89.75,98.84,7.55,271.78
2013,1,10,7,26.29,85.75,98.87,8.48,269.53
2013,1,10,8,27.07,81.81,98.88,9.08,268.23
2013,1,10,9,27.68,78.94,98.86,9.27,268.36
2013,1,10,10,28.1,77.12,98.82,9.15,268.39
2013,1,10,11,28.33,76.31,98.76,8.89,266.73
2013,1,10,12,28.35,76.5,98.69,8.72,261.6
2013,1,10,13,28.08,77.44,98.63,8.62,255.99
2013,1,10,14,27.62,78.69,98.59,8.41,252.32
2013,1,10,15,27.04,80.81,98.6,7.95,250.18
2013,1,10,16,26.39,83.88,98.66,7.29,253.18
2013,1,10,17,25.73,87.31,98.74,6.67,259.55
2013,1,10,18,25.25,89.94,98.81,6.56,263.71
2013,1,10,19,25.13,91.06,98.85,6.83,267.45
2013,1,10,20,25.12,91.5,98.88,7.34,270.49
2013,1,10,21,25.11,91.25,98.87,8.17,273.23
2013,1,10,22,25.08,90.75,98.81,8.74,275.38
2013,1,10,23,24.97,90.88,98.77,8.58,277.48
2013,1,11,0,24.83,91.06,98.73,8.41,279.9
2013,1,11,1,24.69,91.31,98.7,8.32,281.75
2013,1,11,2,24.59,91.44,98.71,8.18,283.25
2013,1,11,3,24.44,91.75,98.75,7.94,284.83
2013,1,11,4,24.32,91.81,98.82,7.49,285.98
2013,1,11,5,24.25,91.88,98.87,6.8,287.87
2013,1,11,6,24.81,90.38,98.9,6.61,289.46
2013,1,11,7,25.94,86.19,98.92,7.29,289.08
2013,1,11,8,27.19,80.75,98.91,8.51,287.37
2013,1,11,9,28.15,77.06,98.88,9.03,288.09
2013,1,11,10,28.8,73.94,98.85,9.16,289.01
2013,1,11,11,29.28,71.56,98.81,9.12,288.37
2013,1,11,12,29.57,70.44,98.76,8.94,286.3
2013,1,11,13,29.59,70.81,98.72,8.6,282.75
2013,1,11,14,29.33,72.75,98.7,8.17,277.7
2013,1,11,15,28.73,76.5,98.71,7.49,271.37
2013,1,11,16,27.9,82.44,98.77,6.51,265.25
2013,1,11,17,26.86,88.62,98.84,5.52,264.89
2013,1,11,18,26.24,91.06,98.92,5.16,270.09
2013,1,11,19,26.05,92.06,98.98,4.75,274.06
2013,1,11,20,25.89,92.75,99.03,4.32,274.14
2013,1,11,21,25.74,93.31,99.04,4.21,274.15
2013,1,11,22,25.58,93.75,99.01,4.25,275.91
2013,1,11,23,25.44,93.81,98.94,4.42,279.76
2013,1,12,0,25.29,93.69,98.89,4.55,284.63
2013,1,12,1,25.12,93.56,98.89,4.53,289.87
2013,1,12,2,25.01,92.88,98.91,4.67,295.24
2013,1,12,3,25.05,91.5,98.95,5.3,296.98
2013,1,12,4,24.98,91.06,99.0,5.58,295.45
2013,1,12,5,24.95,91.0,99.04,5.48,292.83
2013,1,12,6,25.55,89.31,99.08,5.69,289.75
2013,1,12,7,26.24,87.06,99.11,5.83,288.12
2013,1,12,8,27.05,82.88,99.12,6.04,288.48
2013,1,12,9,27.9,79.31,99.12,6.18,288.96
2013,1,12,10,28.44,77.19,99.08,6.26,288.12
2013,1,12,11,28.8,75.81,99.04,6.33,285.46
2013,1,12,12,28.84,75.75,98.96,6.3,282.4
2013,1,12,13,28.65,76.81,98.88,6.06,278.9
2013,1,12,14,28.45,78.12,98.82,5.65,275.0
2013,1,12,15,28.17,80.25,98.83,4.95,271.18
2013,1,12,16,27.74,83.0,98.88,4.17,266.02
2013,1,12,17,26.95,87.44,98.97,3.54,262.01
2013,1,12,18,26.34,90.06,99.05,3.33,262.86
2013,1,12,19,26.15,90.88,99.11,3.42,267.12
2013,1,12,20,26.01,91.56,99.16,3.65,270.86
2013,1,12,21,25.89,91.94,99.16,3.92,272.63
2013,1,12,22,25.79,92.12,99.12,4.05,274.42
2013,1,12,23,25.69,92.38,99.05,4.08,277.26
2013,1,13,0,25.58,92.38,99.0,4.1,280.99
2013,1,13,1,25.44,92.44,98.98,4.02,284.63
2013,1,13,2,25.24,92.5,98.98,3.83,288.43
2013,1,13,3,25.03,92.44,98.99,3.6,293.39
2013,1,13,4,24.8,92.56,99.03,3.44,299.94
2013,1,13,5,24.71,92.44,99.07,3.31,306.28
2013,1,13,6,25.39,90.88,99.12,3.37,312.09
2013,1,13,7,26.0,87.56,99.13,3.81,313.59
2013,1,13,8,26.79,82.56,99.1,4.02,307.65
2013,1,13,9,27.51,78.31,99.06,3.98,298.73
2013,1,13,10,28.06,75.88,99.01,4.19,287.35
2013,1,13,11,28.37,74.88,98.95,4.47,276.42
2013,1,13,12,28.44,74.94,98.9,4.64,264.88
2013,1,13,13,28.33,75.94,98.88,4.65,258.65
2013,1,13,14,27.9,78.5,98.87,4.45,255.55
2013,1,13,15,27.63,80.62,98.88,3.94,253.65
2013,1,13,16,27.4,82.5,98.91,3.7,256.08
2013,1,13,17,26.68,87.31,98.98,2.96,260.59
2013,1,13,18,26.22,88.38,99.05,2.54,264.36
2013,1,13,19,26.12,89.06,99.09,2.34,265.2
2013,1,13,20,26.02,89.88,99.12,2.1,262.95
2013,1,13,21,25.9,90.94,99.09,2.04,257.4
2013,1,13,22,25.72,91.88,99.02,1.99,241.32
2013,1,13,23,25.54,92.62,98.94,2.39,223.67
2013,1,14,0,25.44,92.88,98.89,3.28,220.36
2013,1,14,1,25.48,92.88,98.88,4.02,225.24
2013,1,14,2,25.55,92.81,98.9,4.09,233.24
2013,1,14,3,25.47,92.94,98.98,3.67,243.82
2013,1,14,4,25.32,92.69,99.06,3.24,257.34
2013,1,14,5,25.29,92.06,99.11,3.04,273.25
2013,1,14,6,25.68,91.31,99.14,2.85,282.17
2013,1,14,7,26.27,88.0,99.13,3.08,291.56
2013,1,14,8,26.86,83.81,99.11,3.51,294.05
2013,1,14,9,27.37,80.5,99.09,4.09,292.84
2013,1,14,10,27.74,78.75,99.08,4.59,291.89
2013,1,14,11,27.87,78.25,99.05,4.82,288.23
2013,1,14,12,27.7,79.38,98.99,4.72,279.34
2013,1,14,13,27.38,81.38,98.96,4.61,268.06
2013,1,14,14,26.94,83.94,98.95,4.24,259.81
2013,1,14,15,26.63,85.56,98.97,3.62,254.11
2013,1,14,16,26.36,86.5,99.01,3.17,248.3
2013,1,14,17,25.77,89.88,99.07,2.83,241.31
2013,1,14,18,25.22,91.88,99.15,2.97,233.55
2013,1,14,19,25.01,92.69,99.21,3.07,230.27
2013,1,14,20,24.86,93.44,99.25,2.98,230.21
2013,1,14,21,24.77,94.31,99.24,2.96,232.19
2013,1,14,22,24.81,94.81,99.17,2.88,235.71
2013,1,14,23,24.9,94.88,99.06,2.86,240.22
2013,1,15,0,25.03,94.44,98.98,3.06,245.73
2013,1,15,1,25.19,93.56,98.95,3.64,254.29
2013,1,15,2,25.21,93.19,98.99,4.27,261.8
2013,1,15,3,25.21,92.81,99.05,4.34,265.05
2013,1,15,4,25.16,92.44,99.14,4.14,269.68
2013,1,15,5,25.17,92.19,99.21,3.87,273.59
2013,1,15,6,25.88,90.88,99.24,4.02,276.14
2013,1,15,7,26.48,88.75,99.26,4.33,274.76
