YEAR,MO,DY,HR,T2M,RH2M,PS,WS10M,WD10M
2013,1,11,21,24.67,92.88,95.91,3.8,302.32
2013,1,11,22,24.58,92.56,95.92,4.21,297.66
2013,1,11,23,24.4,92.75,95.9,4.1,293.83
2013,1,12,0,24.19,92.94,95.85,3.87,292.83
2013,1,12,1,24.01,93,95.82,3.85,294.22
2013,1,12,2,23.87,93.06,95.82,3.7,296.46
2013,1,12,3,23.8,92.94,95.84,3.71,298.29
2013,1,12,4,23.76,93,95.88,3.6,300.41
2013,1,12,5,23.78,93.25,95.94,3.35,300.28
2013,1,12,6,24.03,92.44,95.97,3.47,298.47
2013,1,12,7,24.75,90,96,4.21,295.61
2013,1,12,8,25.4,85.75,96.02,4.79,291.42
2013,1,12,9,26.08,81.19,96.02,5.2,288.22
2013,1,12,10,26.78,77.31,96,5.29,287.55
2013,1,12,11,27.29,75.19,95.96,5.27,289.86
2013,1,12,12,27.57,74.62,95.91,5.27,292.04
2013,1,12,13,27.65,74.75,95.84,5.08,292.42
2013,1,12,14,27.45,76.31,95.77,4.68,292.49
2013,1,12,15,26.9,79.69,95.74,4.09,293.87
2013,1,12,16,26.34,83.38,95.76,3.48,295.7
2013,1,12,17,25.8,87.69,95.82,2.97,297.37
2013,1,12,18,25.3,91.5,95.89,2.19,300.23
2013,1,12,19,25.05,93.19,95.95,1.86,299.48
2013,1,12,20,24.95,93.56,96,1.9,294.78
2013,1,12,21,24.84,93.75,96.04,2.02,290.61
2013,1,12,22,24.7,93.88,96.04,2.25,283.46
2013,1,12,23,24.55,93.75,95.98,2.35,276.68
2013,1,13,0,24.4,93.69,95.92,2.35,273.43
2013,1,13,1,24.21,93.5,95.87,2.28,269.41
2013,1,13,2,24.05,93.19,95.86,2.17,264.84
2013,1,13,3,23.89,93,95.89,2.11,265.96
2013,1,13,4,23.72,92.75,95.92,2.09,271.5
2013,1,13,5,23.59,92.44,95.96,2.12,281.48
2013,1,13,6,23.74,91.94,96.01,2.35,288.98
2013,1,13,7,24.35,90.56,96.04,3.42,290.76
2013,1,13,8,24.9,88.31,96.03,4.12,292.77
2013,1,13,9,25.69,84.31,96.01,4.45,294.45
2013,1,13,10,26.41,80,96.01,4.32,299.95
2013,1,13,11,26.84,77.62,95.99,3.99,301.14
2013,1,13,12,27.26,75.38,95.93,3.53,294.41
2013,1,13,13,27.72,72.81,95.87,2.76,286.59
2013,1,13,14,27.97,72,95.82,1.81,278.69
2013,1,13,15,27.86,72.81,95.81,1.31,273.08
2013,1,13,16,27.17,77.12,95.84,1.22,274.76
2013,1,13,17,26.4,83.12,95.89,1.33,287.37
2013,1,13,18,25.56,88.5,95.95,1.59,295.94
2013,1,13,19,25.06,91.5,96.01,1.71,299.26
2013,1,13,20,24.87,92.62,96.06,1.89,300.6
2013,1,13,21,24.76,93.31,96.09,2.18,300.89
2013,1,13,22,24.64,93.81,96.09,2.5,298.17
2013,1,13,23,24.47,94.31,96.06,2.63,296.87
2013,1,14,0,24.26,94.81,95.99,2.74,297
2013,1,14,1,23.97,94.94,95.94,2.85,297.97
2013,1,14,2,23.8,94.56,95.89,2.95,298.67
2013,1,14,3,23.79,94.12,95.86,2.96,299.61
2013,1,14,4,23.8,93.25,95.89,3.19,301.47
2013,1,14,5,23.84,92.62,95.96,3.44,301.45
2013,1,14,6,23.95,92.62,96.03,3.52,302.6
2013,1,14,7,24.37,92.25,96.1,3.93,302.08
2013,1,14,8,24.8,90.62,96.09,4.52,293.95
2013,1,14,9,25.08,88.31,96.07,4.85,281.89
2013,1,14,10,25.4,85.75,96.03,4.87,270.46
2013,1,14,11,25.83,82.56,96,4.51,263.23
2013,1,14,12,26.21,80.06,95.96,3.92,263.02
2013,1,14,13,26.33,79.5,95.91,3.13,269.57
2013,1,14,14,26.26,80.5,95.84,2.2,284.58
2013,1,14,15,25.8,83.44,95.81,1.48,315.64
2013,1,14,16,25.28,87.5,95.81,1.32,349.76
2013,1,14,17,24.98,90.12,95.86,1.34,357.67
2013,1,14,18,24.42,93.75,95.89,1.17,334.64
2013,1,14,19,24.01,95.81,95.95,1.36,299.66
2013,1,14,20,23.97,96,96.07,1.92,271.63
2013,1,14,21,23.9,95.06,96.16,3.16,252.15
2013,1,14,22,23.55,95.5,96.17,3.35,241.76
2013,1,14,23,23.19,95.75,96.11,3,240.83
2013,1,15,0,23.08,94.44,96.03,2.56,247.03
2013,1,15,1,23.15,92.81,95.96,2.54,256.69
2013,1,15,2,23.15,93.06,95.95,2.45,262.67
2013,1,15,3,23.11,93.19,95.98,2.39,262.48
2013,1,15,4,23.06,93.31,96.03,2.36,258.13
2013,1,15,5,22.99,93.44,96.1,2.25,253.26
2013,1,15,6,23.21,92.62,96.15,2.03,249.55
2013,1,15,7,23.96,90.06,96.2,2.4,254.34
2013,1,15,8,24.8,84.75,96.22,2.65,261.87
